"dim1","dim2","dim3","dim4","dim5","dim6","dim7","class"
1.51829,72.33,13.24,3.9,1.41,0,0.1,"class1"
1.51708,72.06,13.72,3.68,1.81,0,0,"class1"
1.51673,72.53,13.3,3.64,1.53,0,0.29,"class1"
1.51652,72.45,13.56,3.57,1.47,0,0,"class1"
1.51844,72.4,13.25,3.76,1.32,0,0,"class1"
1.51663,72.96,12.93,3.54,1.62,0,0.21,"class1"
1.51687,72.84,13.23,3.54,1.48,0,0,"class1"
1.51707,72.52,13.48,3.48,1.71,0,0,"class1"
1.52177,72.75,13.2,3.68,1.15,0,0,"class1"
1.51872,72.51,12.93,3.66,1.56,0,0.12,"class1"
1.51667,72.75,12.94,3.61,1.26,0,0,"class1"
1.52081,71.99,13.78,2.28,1.43,0,0.17,"class1"
1.52068,72.18,13.55,2.09,1.67,0.27,0.17,"class1"
1.5202,71.76,13.98,1.35,1.63,0,0.18,"class1"
1.52177,72.19,13.75,1.01,1.36,0,0,"class1"
1.52614,71.24,13.7,0,1.36,0,0.1,"class1"
1.51813,72.49,13.43,3.98,1.18,0,0,"class1"
1.518,71.81,13.71,3.93,1.54,0,0.15,"class1"
1.51811,72.78,13.33,3.85,1.25,0,0,"class1"
1.51789,72.33,13.19,3.9,1.3,0,0.28,"class1"
1.51806,73.07,13,3.8,1.08,0,0.12,"class1"
1.51711,72.96,12.89,3.62,1.57,0,0,"class1"
1.51674,73.36,12.79,3.52,1.54,0,0,"class1"
1.51674,73.14,12.87,3.56,1.64,0,0,"class1"
1.5169,72.54,13.33,3.54,1.61,0,0,"class1"
1.51851,72.83,13.2,3.63,1.07,0.09,0.17,"class1"
1.51662,73.01,12.85,3.51,1.44,0.06,0.25,"class1"
1.51709,72.72,13,3.47,1.79,0,0,"class1"
1.5166,72.97,12.99,3.18,1.23,0,0.24,"class1"
1.51839,72.57,12.85,3.67,1.24,0,0.35,"class1"
1.52101,71.78,13.64,4.49,1.1,0,0,"class2"
1.51761,72.73,13.89,3.6,1.36,0,0,"class2"
1.51618,72.99,13.53,3.55,1.54,0,0,"class2"
1.51766,72.61,13.21,3.69,1.29,0,0,"class2"
1.51742,73.08,13.27,3.62,1.24,0,0,"class2"
1.51596,72.97,12.79,3.61,1.62,0,0.26,"class2"
1.51743,73.09,13.3,3.6,1.14,0,0,"class2"
1.51756,73.24,13.15,3.61,1.05,0,0,"class2"
1.51918,72.08,14.04,3.58,1.37,0,0,"class2"
1.51755,72.99,13,3.6,1.36,0,0.11,"class2"
1.51571,73.2,12.72,3.46,1.56,0,0.24,"class2"
1.51763,73.01,12.8,3.66,1.27,0,0,"class2"
1.51589,73.28,12.88,3.43,1.4,0,0.24,"class2"
1.51748,73.21,12.86,3.56,1.27,0,0.17,"class2"
1.51763,73.29,12.61,3.59,1.31,0,0,"class2"
1.51761,73.24,12.81,3.54,1.23,0,0,"class2"
1.51784,73.11,12.68,3.67,1.16,0,0,"class2"
1.52196,71.36,14.36,3.85,0.89,0,0,"class2"
1.51911,72.12,13.9,3.73,1.18,0,0,"class2"
1.51735,72.73,13.02,3.54,1.69,0,0.07,"class2"
1.5175,72.75,12.82,3.55,1.49,0,0.19,"class2"
1.51966,72.02,14.77,3.75,0.29,0,0,"class2"
1.51736,72.79,12.78,3.62,1.29,0,0,"class2"
1.51751,73.02,12.81,3.57,1.35,0,0,"class2"
1.5172,72.85,13.38,3.5,1.15,0,0,"class2"
1.51764,73,12.98,3.54,1.21,0,0,"class2"
1.51793,72.64,13.21,3.48,1.41,0,0,"class2"
1.51721,73.04,12.87,3.48,1.33,0,0,"class2"
1.51768,73.15,12.56,3.52,1.43,0,0,"class2"
1.51784,72.86,13.08,3.49,1.28,0,0,"class2"
1.51768,73.08,12.65,3.56,1.3,0,0.14,"class2"
1.51747,73.27,12.84,3.5,1.14,0,0,"class2"
1.51775,72.97,12.85,3.48,1.23,0.09,0.22,"class2"
1.51753,73.39,12.57,3.47,1.38,0,0.06,"class2"
1.51783,72.95,12.69,3.54,1.34,0,0,"class2"
1.51567,72.74,13.29,3.45,1.21,0,0,"class2"
1.51909,71.81,13.89,3.53,1.32,0.11,0,"class2"
1.51797,72.96,12.74,3.48,1.35,0,0,"class2"
1.52213,71.77,14.21,3.82,0.47,0,0,"class2"
1.52213,71.77,14.21,3.82,0.47,0,0,"class2"
1.51793,73.03,12.79,3.5,1.12,0,0,"class2"
1.51755,73.2,12.71,3.42,1.2,0,0,"class2"
1.51779,72.76,13.21,3.39,1.33,0,0,"class2"
1.5221,71.76,13.73,3.84,0.72,0,0,"class2"
1.51786,72.95,12.73,3.43,1.19,0,0.3,"class2"
1.519,71.95,13.49,3.48,1.35,0,0,"class2"
1.51869,72.72,13.19,3.37,1.18,0,0.16,"class2"
1.52667,71.57,13.99,3.7,0.71,0,0.1,"class2"
1.52223,71.99,13.21,3.77,0.79,0,0,"class2"
1.51898,72.08,13.58,3.35,1.23,0,0,"class2"
1.5232,71.75,13.72,3.72,0.51,0,0.16,"class2"
1.51926,72.36,13.2,3.33,1.28,0,0.11,"class2"
1.51808,72.84,13.43,2.87,1.19,0,0,"class2"
1.51837,72.85,13.14,2.84,1.28,0,0,"class2"
1.51778,72.98,13.21,2.81,1.29,0,0.09,"class2"
1.51769,73.7,12.45,2.71,1.29,0,0.24,"class2"
1.51215,72.98,12.99,3.47,1.12,0,0.31,"class2"
1.51824,72.95,12.87,3.48,1.29,0,0,"class2"
1.51754,72.99,13.48,3.74,1.17,0,0,"class2"
1.51754,72.79,13.39,3.66,1.19,0,0.11,"class2"
1.51905,72.64,13.6,3.62,1.11,0,0,"class2"
1.51977,71.72,13.81,3.58,1.32,0.69,0,"class2"
1.52172,71.79,13.51,3.86,0.88,0,0.11,"class2"
1.52227,71.35,14.17,3.81,0.78,0,0,"class2"
1.52172,72.01,13.48,3.74,0.9,0,0.07,"class2"
1.52099,71.96,13.69,3.59,1.12,0,0,"class2"
1.52152,72.22,13.05,3.65,0.87,0,0.17,"class2"
1.52152,72.32,13.05,3.65,0.87,0,0.17,"class2"
1.52152,72.2,13.12,3.58,0.9,0,0.16,"class2"
1.523,71.99,13.31,3.58,0.82,0,0.03,"class2"
1.51769,72.77,13.65,3.66,1.11,0,0,"class3"
1.5161,72.67,13.33,3.53,1.34,0,0,"class3"
1.5167,72.7,13.24,3.57,1.38,0,0.1,"class3"
1.51643,72.89,12.16,3.52,1.35,0,0,"class3"
1.51665,72.48,13.14,3.45,1.76,0,0.17,"class3"
1.52127,71.5,14.32,3.9,0.83,0,0,"class3"
1.5161,72.69,13.42,3.4,1.22,0,0,"class3"
1.51694,72.61,12.86,3.58,1.31,0,0,"class3"
1.51646,73.01,13.04,3.4,1.26,0,0,"class3"
1.51655,72.64,13.41,3.39,1.28,0,0,"class3"
1.52121,71.79,14.03,3.76,0.58,0,0,"class3"
1.51776,72.04,13.53,3.41,1.52,0,0,vehicl
1.51796,71.94,13.5,3.36,1.63,0,0.09,"class3"
1.51832,72.14,13.33,3.34,1.54,0,0,"class3"
1.51934,72.65,13.64,3.54,0.75,0.15,0.24,"class3"
1.52211,71.36,14.19,3.78,0.91,0,0.37,"class3"
1.51514,69.89,14.01,2.68,3.5,2.2,0,"class4"
1.51915,72.69,12.73,1.85,1.86,0,0,"class4"
1.52171,72.86,11.56,1.88,1.56,0,0,"class4"
1.52151,73.44,11.03,1.71,1.56,0,0,"class4"
1.51969,73.75,12.64,0,1.65,0,0,"class4"
1.51666,73.88,12.86,0,1.83,0,0,"class4"
1.51994,73.03,13.27,0,1.76,0,0,"class4"
1.52369,72.22,13.44,0,1.58,0,0,"class4"
1.51316,70.48,13.02,0,3.04,0,0,"class4"
1.51321,70.7,13,0,3.02,0,0,"class4"
1.52043,72.25,13.38,0,1.4,0,0,"class4"
1.52058,72.18,12.85,1.61,2.17,0.24,0.51,"class4"
1.52119,73.39,12.97,0.33,1.51,0,0.28,"class4"
1.51905,72.37,14,2.39,1.56,0,0,"class5"
1.51937,72.76,13.79,2.41,1.19,0,0,"class5"
1.51829,72.38,14.46,2.24,1.62,0,0,"class5"
1.51852,72.67,14.09,2.19,1.66,0,0,"class5"
1.51299,74.55,14.4,1.74,1.54,0,0,"class5"
1.51888,72.5,14.99,0.78,1.74,0,0,"class5"
1.51916,72.74,14.15,0,2.09,0,0,"class5"
1.51969,73.48,14.56,0,0.56,0,0,"class5"
1.51115,75.41,17.38,0,0.34,0,0,"class5"
1.51131,72.81,13.69,3.2,1.81,1.19,0,"class6"
1.51838,71.25,14.32,3.26,2.22,1.63,0,"class6"
1.52315,72.38,13.44,3.34,1.23,0,0,"class6"
1.52247,70.26,14.86,2.2,2.06,0,0,"class6"
1.52365,70.43,15.79,1.83,1.31,1.68,0,"class6"
1.51613,73.1,13.88,1.78,1.79,0.76,0,"class6"
1.51602,73.28,14.85,0,2.38,0.64,0.09,"class6"
1.51623,73.46,14.2,0,2.79,0.4,0.09,"class6"
1.51719,73.02,14.75,0,2,1.59,0.08,"class6"
1.51683,73.29,14.56,0,1.98,1.57,0.07,"class6"
1.51545,73.39,14.14,0,2.68,0.61,0.05,"class6"
1.51556,73.23,13.87,0,2.54,0.81,0.01,"class6"
1.51727,73.28,14.7,0,2.34,0.66,0,"class6"
1.51531,73.1,14.38,0,2.66,0.64,0,"class6"
1.51609,73.05,15.01,0,2.51,0.53,0,"class6"
1.51508,73.5,15.15,0,2.25,0.63,0,"class6"
1.51653,75.18,11.95,0,1.19,0,0,"class6"
1.51514,73.72,14.85,0,2.42,0.56,0,"class6"
1.51658,73.11,14.8,0,1.99,1.71,0,"class6"
1.51617,73.3,14.95,0,2.27,0.67,0,"class6"
1.51732,72.99,14.95,0,1.8,1.55,0,"class6"
1.51645,73.11,14.94,0,1.87,1.38,0,"class6"
1.51831,72.86,14.39,0,1.82,2.88,0,"class6"
1.5164,72.85,14.37,0,2.74,0.54,0,"class6"
1.51623,72.61,14.14,0,2.88,1.06,0,"class6"
1.51685,73.06,14.92,0,1.99,1.59,0,"class6"
1.52065,73.42,14.36,0,2.02,1.64,0,"class6"
1.51651,73.61,14.38,0,1.94,1.57,0,"class6"
1.51711,73.36,14.23,0,2.08,1.67,0,"class6"
